i	N	C_MAX	costo_promedio	porcentaje_llenado	io_count	duracion_segundos
10	1024	10	9.94175	8.51064	1118	0
10	1024	100	93.8462	53.3333	1039	0
10	1024	500	423.2	72.7273	1035	0
10	1024	750	606.5	80	1034	0
10	1024	1024	899.333	80	1034	0
10	1024	2056	1781	88.8889	1033	0
10	1024	5000	4608	100	1032	0
10	1024	10000	4608	100	1032	0
11	2048	10	9.99024	9.09091	2224	0
11	2048	100	97.48	50	2080	0
11	2048	500	482.444	72.7273	2070	0
11	2048	750	727.429	80	2068	0
11	2048	1024	956.333	84.2105	2067	0
11	2048	2056	1949.5	88.8889	2066	0
11	2048	5000	3638	94.1176	2065	0
11	2048	10000	6925	94.1176	2065	0
12	4096	10	9.99024	8.86427	4457	0
12	4096	100	98.098	50	4160	0
12	4096	500	494.889	72.7273	4140	0
12	4096	750	703.733	82.0513	4135	0
12	4096	1024	993.667	82.0513	4135	0
12	4096	2056	2029.88	88.8889	4132	0
12	4096	5000	4793.2	91.4286	4131	0
12	4096	10000	8080.25	94.1176	4130	0
13	8192	10	9.99024	8.79121	8920	0
13	8192	100	99.0495	49.2308	8322	0
13	8192	500	486.676	74.4186	8278	0
13	8192	750	733	83.1169	8269	0
13	8192	1024	1017.75	82.0513	8270	0
13	8192	2056	1966.88	87.6712	8265	0
13	8192	5000	4976	91.4286	8262	0
13	8192	10000	9781.86	95.5224	8259	0
14	16384	10	9.99634	8.93855	17816	0
14	16384	100	99.5821	49.6124	16642	0
14	16384	500	496.233	74.8538	16555	0
14	16384	750	744.259	81.5287	16541	0
14	16384	1024	1005.45	82.5806	16539	0
14	16384	2056	2002.94	87.6712	16530	0
14	16384	5000	4846.43	91.4286	16524	0
14	16384	10000	9428.33	94.1176	16520	0
15	32768	10	9.99939	8.91055	35641	1
15	32768	100	99.8221	50.3937	33276	1
15	32768	500	499.432	75.0733	33109	1
15	32768	750	744.491	80.5031	33086	1
15	32768	1024	1016.97	82.5806	33078	1
15	32768	2056	2038.58	87.6712	33060	1
15	32768	5000	4923.62	91.7563	33047	1
15	32768	10000	9856	94.4649	33039	1
16	65536	10	9.99939	8.909	71283	2
16	65536	100	99.9288	50.4931	66550	2
16	65536	500	498.782	75.0733	66218	2
16	65536	750	748.289	80.1252	66175	2
16	65536	1024	1021.57	83.1169	66152	2
16	65536	2056	2050.66	87.372	66122	2
16	65536	5000	4993.17	92.922	66087	2
16	65536	10000	9945.84	94.9907	66075	2
17	131072	10	9.99939	8.85507	142636	4
17	131072	100	99.9888	50.3441	133106	4
17	131072	500	499.647	75.0183	132437	4
17	131072	750	749.931	81.2054	132333	4
17	131072	1024	1022.76	82.5806	132312	4
17	131072	2056	2050.74	88.2759	132232	4
17	131072	5000	4976.35	92.922	132174	4
17	131072	10000	9918.68	94.6396	132154	5
18	262144	10	9.99977	8.8543	285274	8
18	262144	100	99.9925	50.27	266218	8
18	262144	500	499.774	74.936	264877	8
18	262144	750	749.316	80.8527	264677	8
18	262144	1024	1023.98	82.4809	264627	8
18	262144	2056	2053.11	88.0482	264470	8
18	262144	5000	4986.55	92.7116	264353	9
18	262144	10000	9986	94.5958	264309	9
19	524288	10	9.99996	8.85468	570546	16
19	524288	100	99.9861	50.1285	532459	16
19	524288	500	499.994	75.1008	529742	16
19	524288	750	749.972	80.6935	529364	16
19	524288	1024	1023.54	82.8144	529234	16
19	524288	2056	2055.62	87.9536	528945	17
19	524288	5000	4993.16	92.3771	528722	18
19	524288	10000	9995.49	94.4649	528624	19
20	1048576	10	9.99996	8.85516	1141087	31
20	1048576	100	99.9966	50.2269	1064886	32
20	1048576	500	499.934	75.156	1059476	33
20	1048576	750	749.93	80.6696	1058731	33
20	1048576	1024	1023.85	82.639	1058489	33
20	1048576	2056	2055.42	87.9725	1057888	34
20	1048576	5000	4998.05	92.2523	1057456	35
20	1048576	10000	9996.15	94.4432	1057250	37
21	2097152	10	9.99996	8.86489	2281971	63
21	2097152	100	99.9996	50.1454	2129825	64
21	2097152	500	499.983	75.1387	2118957	66
21	2097152	750	749.952	80.7571	2117440	66
21	2097152	1024	1023.9	82.4726	2117018	66
21	2097152	2056	2055.61	88.034	2115763	73
21	2097152	5000	4999.39	92.4396	2114876	80
21	2097152	10000	9996.33	94.5358	2114483	78
22	4194304	10	9.99999	8.8664	4563879	130
22	4194304	100	99.9993	50.2569	4259505	131
22	4194304	500	499.983	75.1646	4237899	135
22	4194304	750	750	80.7432	4234887	135
22	4194304	1024	1023.94	82.6265	4233962	137
22	4194304	2056	2055.86	88.0742	4231509	142
22	4194304	5000	4999.98	92.2341	4229831	152
22	4194304	10000	9997.73	94.5795	4228950	159
23	8388608	10	10	8.8649	9127883	257
23	8388608	100	100	50.2049	8519145	260
23	8388608	500	499.998	75.2224	8475731	268
23	8388608	750	749.999	80.7631	8469754	272
23	8388608	1024	1023.96	82.6306	8467920	275
23	8388608	2056	2055.89	88.0647	8463026	286
23	8388608	5000	4999.83	92.4292	8459512	301
23	8388608	10000	9998.87	94.499	8457959	321
24	16777216	10	10	8.8646	18255816	517
24	16777216	100	99.9998	50.2017	17038307	524
24	16777216	500	499.997	75.2526	16951392	545
24	16777216	750	749.992	80.7666	16939501	548
24	16777216	1024	1023.99	82.615	16935870	554
24	16777216	2056	2056	88.0286	16926113	576
24	16777216	5000	5000	92.3706	16919114	612
24	16777216	10000	9999.39	94.5297	16915873	652
